src_ip,dst_ip,protocol,packet_size,time_diff
10.58.86.157,49.44.136.97,17,71,0.2154102325439453
49.44.136.97,10.58.86.157,17,66,0.06832408905029297
10.58.86.157,49.44.136.97,17,71,0.026468992233276367
10.58.86.157,49.44.136.97,17,74,0.0013699531555175781
49.44.136.97,10.58.86.157,17,66,0.0010144710540771484
184.84.232.80,10.58.86.157,17,66,0.01315760612487793
49.44.136.97,10.58.86.157,17,66,0.021691322326660156
10.58.86.157,49.44.136.97,17,75,0.001026153564453125
10.58.86.157,184.84.232.80,17,74,0.007415056228637695
49.44.136.97,10.58.86.157,17,68,0.013742685317993164
10.58.86.157,49.44.136.97,17,71,0.20517206192016602
49.44.136.97,10.58.86.157,17,67,0.04188871383666992
10.58.86.157,8.8.8.8,1,74,0.004491090774536133
8.8.8.8,10.58.86.157,1,74,0.03178071975708008
10.58.86.157,49.44.136.97,17,71,0.17181897163391113
49.44.136.97,10.58.86.157,17,68,0.038762807846069336
10.58.86.157,49.44.136.97,17,71,0.21144437789916992
49.44.136.97,10.58.86.157,17,67,0.05404305458068848
10.58.86.157,49.44.136.97,17,71,0.20946288108825684
49.44.136.97,10.58.86.157,17,68,0.0732736587524414
10.58.86.157,8.8.8.8,1,74,0.22369146347045898
8.8.8.8,10.58.86.157,1,74,0.06473183631896973
10.58.86.157,49.44.136.97,17,71,0.12342095375061035
10.58.86.157,49.44.136.97,17,71,0.09218454360961914
49.44.136.97,10.58.86.157,17,68,0.017866134643554688
49.44.136.97,10.58.86.157,17,69,0.016908645629882812
10.58.86.157,142.250.77.138,17,71,0.29660964012145996
10.58.86.157,99.86.182.37,6,55,0.014812469482421875
99.86.182.37,10.58.86.157,6,66,0.031816720962524414
142.250.77.138,10.58.86.157,17,66,0.02465033531188965
10.58.86.157,8.8.8.8,1,74,0.33461999893188477
8.8.8.8,10.58.86.157,1,74,0.07977294921875
10.58.86.157,49.44.136.97,17,71,0.029579639434814453
49.44.136.97,10.58.86.157,17,69,0.03721976280212402
10.58.86.157,4.213.25.240,6,55,0.024864912033081055
4.213.25.240,10.58.86.157,6,66,0.06047773361206055
10.58.86.157,100.25.205.24,6,54,0.08269762992858887
10.58.86.157,100.25.205.24,6,66,0.0019345283508300781
100.25.205.24,10.58.86.157,6,66,0.23054790496826172
10.58.86.157,100.25.205.24,6,54,0.0
10.58.86.157,100.25.205.24,6,416,0.0010120868682861328
44.205.184.155,10.58.86.157,6,85,0.45259833335876465
100.25.205.24,10.58.86.157,6,54,0.0010454654693603516
100.25.205.24,10.58.86.157,6,201,0.00101470947265625
44.205.184.155,10.58.86.157,6,54,0.0
10.58.86.157,44.205.184.155,6,54,0.0013110637664794922
10.58.86.157,100.25.205.24,6,276,0.002012014389038086
10.58.86.157,8.8.8.8,1,74,0.006181240081787109
8.8.8.8,10.58.86.157,1,74,0.05776166915893555
54.163.60.100,10.58.86.157,6,85,0.005827903747558594
54.163.60.100,10.58.86.157,6,54,0.0009989738464355469
10.58.86.157,54.163.60.100,6,54,0.0009999275207519531
100.25.205.24,10.58.86.157,6,54,0.3279891014099121
10.58.86.157,100.25.205.24,6,986,0.0009999275207519531
100.25.205.24,10.58.86.157,6,108,0.09612107276916504
10.58.86.157,100.25.205.24,6,54,0.04259204864501953
100.25.205.24,10.58.86.157,6,608,0.12681150436401367
10.58.86.157,100.25.205.24,6,54,0.04523777961730957
10.58.86.157,142.251.154.119,17,1292,0.01748824119567871
10.58.86.157,142.251.154.119,17,1292,0.0
10.58.86.157,142.251.154.119,17,1292,0.0014677047729492188
10.58.86.157,142.251.154.119,17,122,0.0010943412780761719
10.58.86.157,142.251.154.119,17,1288,0.000507354736328125
10.58.86.157,142.251.154.119,17,1292,0.0011563301086425781
10.58.86.157,142.251.154.119,17,198,0.0
10.58.86.157,49.44.136.97,17,71,0.009487628936767578
142.251.154.119,10.58.86.157,17,82,0.015197992324829102
142.251.154.119,10.58.86.157,17,82,0.0
142.251.154.119,10.58.86.157,17,1292,0.0009999275207519531
142.251.154.119,10.58.86.157,17,1292,0.0010170936584472656
49.44.136.97,10.58.86.157,17,69,0.01833939552307129
142.251.154.119,10.58.86.157,17,1292,0.003340482711791992
142.251.154.119,10.58.86.157,17,333,0.0010349750518798828
142.251.154.119,10.58.86.157,17,1001,0.000982522964477539
