packet_count,avg_packet_size,std_packet_size,min_packet_size,max_packet_size,flow_duration,avg_time_diff,packet_rate,burst_rate,size_variation,max_time_diff,min_time_diff,time_variation,idle_time,label
50,126.2,245.60154722639678,54,1354,1.8245596885681152,0.03723591201159419,27.403856891841272,0.7142857142857143,1.9461295188610717,0.5279924869537354,0.0,0.10416334456273954,0.5279924869537354,0
50,753.62,550.5104500370542,54,1334,1.5000174045562744,0.030612600092985193,33.33292434821203,0.673469387755102,0.7304881097987925,0.5916509628295898,0.0,0.09267383012961108,0.5916509628295898,0
50,440.24,507.65336835285547,54,1334,1.8295083045959473,0.037336904175427496,27.32973255418488,0.7142857142857143,1.1531286734502244,0.45732951164245605,0.0,0.10240496159273797,0.45732951164245605,0
50,81.76,6.172714151813609,72,92,8.140662431716919,0.16613596799422284,6.142005552667183,0.673469387755102,0.07549797060072942,3.0895941257476807,0.0,0.4882588079357845,3.0895941257476807,0
50,169.02,61.236097197649684,89,333,8.126796960830688,0.1658529992006263,6.152484685972088,0.5510204081632653,0.36230089241124597,3.0533008575439453,0.0,0.4872502755733465,3.0533008575439453,0
50,364.98,473.2614283881584,54,1354,1.5602970123291016,0.03184279616998167,32.045160350722725,0.6530612244897959,1.296677700398599,0.4488687515258789,0.0,0.08554950667001049,0.4488687515258789,0
50,284.32,433.30684001063264,54,1334,1.4512407779693604,0.029617158734068578,34.45325290315315,0.7142857142857143,1.524011108914679,0.4134492874145508,0.0,0.08204447188251612,0.4134492874145508,0
50,403.24,444.1155507297622,54,1334,1.0061328411102295,0.020533323287963867,49.69517767618963,0.5918367346938775,1.1013677949320366,0.1358647346496582,0.0,0.034483688944425925,0.1358647346496582,0
50,871.7,559.4804822332947,54,1334,2.613913059234619,0.0533451644741759,19.128402413750553,0.8367346938775511,0.6418268688671191,1.3825881481170654,0.0,0.20570098935734746,1.3825881481170654,0
50,909.08,569.6149871623815,54,1354,3.8943867683410645,0.07947728098655234,12.838988558476048,0.7551020408163265,0.6265840041974275,1.5401997566223145,0.0,0.2559571783746075,1.5401997566223145,0
50,149.66,305.12637447457735,54,1334,3.915386199951172,0.07990584081533003,12.770129094926688,0.5714285714285714,2.038797089641723,1.567258596420288,0.0,0.2557472721952641,1.567258596420288,0
50,129.48,189.84617351951027,54,691,2.946531057357788,0.06013328688485282,16.969100972495767,0.6938775510204082,1.4662200498400544,2.75296950340271,0.0,0.3886925200809021,2.75296950340271,0
50,773.3,571.1944064852175,54,1334,2.8847384452819824,0.05887221316902005,17.332587898631694,0.9183673469387755,0.7386452938659929,2.7801685333251953,0.0,0.3928822953213592,2.7801685333251953,0
50,402.2,517.816724334006,54,1354,3.213104009628296,0.065573551216904,15.561271682740362,0.5306122448979592,1.2874607733628674,1.3108184337615967,0.0,0.19268456740192905,1.3108184337615967,0
50,1040.94,503.51092977213517,54,1334,0.05477786064147949,0.0011179155232954997,912.7608609321667,0.9591836734693877,0.48370792676660246,0.006127834320068359,0.0,0.0012363932306421507,0.006127834320068359,0
50,1328.7,37.099999999999994,1069,1334,0.033127546310424805,0.0006760723736821388,1509.27238193564,1.0,0.027922029029937505,0.002311229705810547,0.0,0.0006302969002522446,0.002311229705810547,0
50,1323.04,76.72000000000001,786,1334,0.033014774322509766,0.0006737709045410156,1514.4276039562878,1.0,0.05798766472821105,0.0024030208587646484,0.0,0.0006325789174814773,0.0024030208587646484,0
50,1334.0,0.0,1334,1334,0.04160118103027344,0.0008490036944953762,1201.8600650676358,1.0,0.0,0.0022940635681152344,0.0,0.0006401160147637729,0.0022940635681152344,0
50,144.34,257.144209345651,54,1354,0.29009580612182617,0.00592032257391482,172.35625813475002,0.6326530612244898,1.781517303340264,0.055245161056518555,0.0,0.008347732717368078,0.055245161056518555,0
50,1334.0,0.0,1334,1334,0.03956770896911621,0.000807504264675841,1263.6247505326878,1.0,0.0,0.0035288333892822266,0.0,0.0007494386439267375,0.0035288333892822266,0
50,1308.1,166.55884845903563,147,1334,0.027283668518066406,0.000556809561593192,1832.5309675978929,1.0,0.12732883444056783,0.00147247314453125,0.0,0.0005559385491830847,0.00147247314453125,0
50,1334.0,0.0,1334,1334,0.022073745727539062,0.00045048460668447064,2265.031752443841,1.0,0.0,0.0014486312866210938,0.0,0.000524555328804347,0.0014486312866210938,0
50,1334.0,0.0,1334,1334,0.021532058715820312,0.0004394297697106186,2322.0110370694833,1.0,0.0,0.0015497207641601562,0.0,0.0005219902711081858,0.0015497207641601562,0
50,1334.0,0.0,1334,1334,0.017673730850219727,0.0003606883846983618,2828.8973916328923,1.0,0.0,0.0011093616485595703,0.0,0.000467628178632572,0.0011093616485595703,0
50,1334.0,0.0,1334,1334,0.015733957290649414,0.00032110116919692683,3177.6381134324893,1.0,0.0,0.0014643669128417969,0.0,0.00048816906733821085,0.0014643669128417969,0
50,1334.0,0.0,1334,1334,0.0212709903717041,0.0004341018443204919,2350.5087735706084,1.0,0.0,0.0015435218811035156,0.0,0.0005316848024263787,0.0015435218811035156,0
50,1334.0,0.0,1334,1334,0.02955460548400879,0.000603155213959363,1691.7264654602577,1.0,0.0,0.0013551712036132812,0.0,0.0004823036222481451,0.0013551712036132812,0
50,171.68,205.03135760170932,54,685,1.7016198635101318,0.03472693599000269,29.383748796344193,0.42857142857142855,1.1942646575456934,0.3875281810760498,0.0,0.06448260176976044,0.3875281810760498,0
50,769.96,589.5588506671746,54,1334,0.6943020820617676,0.014169430246158523,72.01465943593756,0.8571428571428571,0.7657006206835082,0.37768054008483887,0.0,0.061177216907738814,0.37768054008483887,0
50,1334.0,0.0,1334,1334,0.022476673126220703,0.0004587076148208307,2224.4295358879426,1.0,0.0,0.0015027523040771484,0.0,0.000536835882451031,0.0015027523040771484,0
50,1334.0,0.0,1334,1334,0.09424757957458496,0.0019234199913180604,530.5119740338557,0.9795918367346939,0.0,0.0598757266998291,0.0,0.008390309182226776,0.0598757266998291,0
