src_ip,dst_ip,protocol,packet_size,time_diff,label
64:ff9b::3656:3b23,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,6,86,0.272165537,1
10.58.86.157,8.8.8.8,1,74,0.167251348,1
8.8.8.8,10.58.86.157,1,74,0.060698032,1
10.58.86.157,8.8.8.8,1,74,0.8008039,1
8.8.8.8,10.58.86.157,1,74,0.04262805,1
10.58.86.157,8.8.8.8,1,74,0.973418236,1
2606:4700:9c61:d9b3:b2dd:3f5:ccf5:ac50,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,6,98,0.045145035,1
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,2606:4700:9c61:d9b3:b2dd:3f5:ccf5:ac50,6,102,0.001013994,1
8.8.8.8,10.58.86.157,1,74,0.010590553,1
2606:4700:9c61:d9b3:b2dd:3f5:ccf5:ac50,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,6,74,0.030032635,1
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,64:ff9b::dd8:ce11,6,75,0.270550489,1
64:ff9b::dd8:ce11,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,6,86,0.285972834,1
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,64:ff9b::6356:b62c,6,75,0.120801449,1
64:ff9b::6356:b62c,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,6,86,0.039629936,1
10.58.86.157,8.8.8.8,1,74,0.211237431,1
8.8.8.8,10.58.86.157,1,74,0.042648077,1
10.58.86.157,8.8.8.8,1,74,0.971515894,1
8.8.8.8,10.58.86.157,1,74,0.063621521,1
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,2001:4860:482a:7700::,17,91,0.013913393,1
2001:4860:482a:7700::,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,17,86,0.083391666,1
64:ff9b::34cd:ebf1,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,6,124,0.006924629,1
64:ff9b::34cd:ebf1,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,6,105,0.002013683,1
64:ff9b::34cd:ebf1,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,6,74,0.000998974,1
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,64:ff9b::34cd:ebf1,6,74,0.000999451,1
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,64:ff9b::34cd:ebf1,6,128,0,1
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,64:ff9b::34cd:ebf1,6,74,0.000999451,1
64:ff9b::34cd:ebf1,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,6,74,0.617202282,0
10.58.86.157,8.8.8.8,1,74,0.225828171,0
8.8.8.8,10.58.86.157,1,74,0.045083046,0
10.58.86.157,10.58.86.75,17,76,0.373412371,0
10.58.86.157,10.58.86.75,17,76,0.001008749,0
10.58.86.157,10.58.86.75,17,76,0.03185606,0
10.58.86.157,10.58.86.75,17,76,0.001002789,0
10.58.86.75,10.58.86.157,17,182,0.042401552,0
10.58.86.75,10.58.86.157,17,206,0.004001141,0
10.58.86.157,32.194.154.68,6,55,0.202634096,0
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,64:ff9b::b849:f2bd,6,75,0.029710293,0
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,64:ff9b::b849:f2bd,6,75,0.186309814,0
32.194.154.68,10.58.86.157,6,66,0.031214952,0
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,64:ff9b::3656:3b23,6,75,0.045487404,0
64:ff9b::b849:f2bd,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,6,86,0.002070665,0
64:ff9b::b849:f2bd,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,6,86,0.211436272,0
64:ff9b::3656:3b23,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,6,86,0.040879488,0
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,64:ff9b::acbc:9b19,6,75,0.245101929,0
64:ff9b::acbc:9b19,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,6,86,0.082897186,0
